"sector","industry"
"Agribusiness","Forestry & Forest Products"
"Agribusiness","Poultry & Eggs"
"Agribusiness","Food Processing & Sales"
"Agribusiness","Crop Production & Basic Processing"
"Agribusiness","Dairy"
"Agribusiness","Tobacco"
"Agribusiness","Agricultural Services/Products"
"Agribusiness","Misc Agriculture"
"Agribusiness","Livestock"
"Communication/Electronics","Misc Communications/Electronics"
"Communication/Electronics","Telephone Utilities"
"Communication/Electronics","Computers/Internet"
"Communication/Electronics","Telecom Services & Equipment"
"Communication/Electronics","Printing & Publishing"
"Communication/Electronics","Electronics Mfg & Services"
"Communication/Electronics","TV/Movies/Music"
"Construction","Construction Services"
"Construction","Special Trade Contractors"
"Construction","Home Builders"
"Construction","General Contractors"
"Construction","Building Materials & Equipment"
"Defense","Defense Electronics"
"Defense","Misc Defense"
"Defense","Defense Aerospace"
"Energy/National Resource","Environmental Svcs/Equipment"
"Energy/National Resource","Misc Energy"
"Energy/National Resource","Waste Management"
"Energy/National Resource","Electric Utilities"
"Energy/National Resource","Oil & Gas"
"Energy/National Resource","Mining"
"Energy/National Resource","Fisheries & Wildlife"
"Finance/Insurance/RealEstate","Commercial Banks"
"Finance/Insurance/RealEstate","Savings & Loans"
"Finance/Insurance/RealEstate","Real Estate"
"Finance/Insurance/RealEstate","Securities & Investment"
"Finance/Insurance/RealEstate","Accountants"
"Finance/Insurance/RealEstate","Misc Finance"
"Finance/Insurance/RealEstate","Credit Unions"
"Finance/Insurance/RealEstate","Finance/Credit Companies"
"Finance/Insurance/RealEstate","Insurance"
"Health","Health Services/HMOs"
"Health","Health Professionals"
"Health","Misc Health"
"Health","Hospitals/Nursing Homes"
"Health","Pharmaceuticals/Health Products"
"Ideology/Single-Issue","Gun Rights"
"Ideology/Single-Issue","Environment"
"Ideology/Single-Issue","Abortion Policy/Pro-Life"
"Ideology/Single-Issue","Human Rights"
"Ideology/Single-Issue","Republican/Conservative"
"Ideology/Single-Issue","Women's Issues"
"Ideology/Single-Issue","Candidate Committees"
"Ideology/Single-Issue","Pro-Israel"
"Ideology/Single-Issue","Abortion Policy/Pro-Choice"
"Ideology/Single-Issue","Gun Control"
"Ideology/Single-Issue","Foreign & Defense Policy"
"Ideology/Single-Issue","Misc Issues"
"Ideology/Single-Issue","Democratic/Liberal"
"Ideology/Single-Issue","Leadership PACs"
"Labor","Industrial Unions"
"Labor","Public Sector Unions"
"Labor","Building Trade Unions"
"Labor","Misc Unions"
"Labor","Transportation Unions"
"Lawyers & Lobbyists","Lawyers/Law Firms"
"Lawyers & Lobbyists","Lobbyists"
"Misc. Business","Misc Business"
"Misc. Business","Misc Services"
"Misc. Business","Misc Manufacturing & Distributing"
"Misc. Business","Retail Sales"
"Misc. Business","Food & Beverage"
"Misc. Business","Business Services"
"Misc. Business","Textiles"
"Misc. Business","Business Associations"
"Misc. Business","Casinos/Gambling"
"Misc. Business","Recreation/Live Entertainment"
"Misc. Business","Steel Production"
"Misc. Business","Lodging/Tourism"
"Misc. Business","Chemical & Related Manufacturing"
"Misc. Business"," Beer, Wine & Liquor "
"Other","Education"
"Other","Civil Servants/Public Officials"
"Other","Non-Profit Institutions"
"Other","Retired"
"Other","Other"
"Other","Intl Orgs"
"Other","Clergy & Religious Organizations"
"Transportation","Railroads"
"Transportation","Sea Transport"
"Transportation","Trucking"
"Transportation","Misc Transport"
"Transportation","Air Transport"
"Transportation","Automotive"
